epoch,split,loss,contrast,tda,L_sb,L_st,L_bt,r1_seq2bio,r1_bio2seq,r5_seq2bio,r5_bio2seq,r10_seq2bio,r10_bio2seq,r1_seq2bio_multi,r1_bio2seq_multi,r5_seq2bio_multi,r5_bio2seq_multi,r10_seq2bio_multi,r10_bio2seq_multi
1,train,16.58900604248047,4.85797119140625,11.731033325195312,4.857970809936523,0.0,0.0,,,,,,,,,,,,
1,val,3.912937545776367,3.912937545776367,0.0,3.912937545776367,0.0,0.0,0.02199999839067459,0.02800000011920929,0.1040000081062317,0.10199999809265137,0.19400001764297486,0.20999999046325685,0.02800000011920929,0.02800000011920929,0.11800000667572022,0.11399999856948853,0.2119999885559082,0.22799999713897706
2,train,238.3053466796875,4.848480224609375,233.4568603515625,4.848479843139648,0.0,0.0,,,,,,,,,,,,
2,val,3.9114543914794924,3.9114543914794924,0.0,3.911454772949219,0.0,0.0,0.023999999463558196,0.0320000022649765,0.1040000081062317,0.1259999990463257,0.23199999332427979,0.2200000047683716,0.02399999797344208,0.0320000022649765,0.13199999332427978,0.13999999761581422,0.2619999885559082,0.24800000190734864
3,train,5.492470550537109,4.847798156738281,0.6446731567382813,4.847797775268555,0.0,0.0,,,,,,,,,,,,
3,val,3.9108646392822264,3.9108646392822264,0.0,3.9108642578125,0.0,0.0,0.017999997735023497,0.025999999046325682,0.12999999523162842,0.11400001049041748,0.23199999332427979,0.22200000286102295,0.02399999797344208,0.025999999046325682,0.1459999918937683,0.12400001287460327,0.25799999237060545,0.24200000762939453
4,train,74.7737060546875,4.847333526611328,69.92637329101562,4.847333908081055,0.0,0.0,,,,,,,,,,,,
4,val,3.9107757568359376,3.9107757568359376,0.0,3.9107757568359376,0.0,0.0,0.02399999797344208,0.025999999046325682,0.12400000095367432,0.12000000476837158,0.2380000114440918,0.22599999904632567,0.02800000011920929,0.025999996066093444,0.1459999918937683,0.13600001335144044,0.26399998664855956,0.24800002574920654
5,train,6.9218589782714846,4.847055816650391,2.0748023986816406,4.847055816650391,0.0,0.0,,,,,,,,,,,,
5,val,3.9106395721435545,3.9106395721435545,0.0,3.910639190673828,0.0,0.0,0.02399999797344208,0.025999999046325682,0.12400000095367432,0.1340000033378601,0.26399998664855956,0.24800000190734864,0.029999998211860657,0.02800000011920929,0.14600000381469727,0.14800000190734863,0.2879999876022339,0.27200000286102294
6,train,1629.7201171875,4.846801376342773,1624.8732421875,4.8468017578125,0.0,0.0,,,,,,,,,,,,
6,val,3.9104496002197267,3.9104496002197267,0.0,3.91044921875,0.0,0.0,0.02399999797344208,0.02799999713897705,0.13000000715255738,0.14399999380111694,0.2619999885559082,0.2740000009536743,0.03400000333786011,0.02800000011920929,0.15399999618530275,0.156000018119812,0.28400001525878904,0.29600000381469727
7,train,3110.3990234375,4.8464611053466795,3105.55234375,4.846461486816406,0.0,0.0,,,,,,,,,,,,
7,val,3.9103336334228516,3.9103336334228516,0.0,3.910334014892578,0.0,0.0,0.031999999284744264,0.03999999761581421,0.12999999523162842,0.14000000953674316,0.26000001430511477,0.26599998474121095,0.04799999892711639,0.03999999761581421,0.15399999618530275,0.15,0.2899999856948853,0.28399999141693116
