Bio Info
model,history,test_metrics,y_test_pred,y_test_prob
"LogisticRegression(
  (model): Linear(in_features=256, out_features=2, bias=True)
)","[{'epoch': 1, 'train_loss': 0.45708289999329177, 'train_acc': 0.9741560529244466, 'lr': 0.001}, {'epoch': 2, 'train_loss': 0.2280889711716686, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 3, 'train_loss': 0.1593734409862327, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 4, 'train_loss': 0.1333872339380411, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 5, 'train_loss': 0.12201592900136264, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 6, 'train_loss': 0.11638801181128061, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 7, 'train_loss': 0.11339028561111211, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 8, 'train_loss': 0.11174399104083116, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 9, 'train_loss': 0.11076240215777128, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 10, 'train_loss': 0.1101737624655935, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 11, 'train_loss': 0.10977278290867172, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 12, 'train_loss': 0.10947539680340874, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 13, 'train_loss': 0.1092081974532639, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 14, 'train_loss': 0.10898486051615869, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 15, 'train_loss': 0.10877355865082038, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 16, 'train_loss': 0.10859026965405688, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 17, 'train_loss': 0.10837627675016222, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 18, 'train_loss': 0.10819332925707592, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 19, 'train_loss': 0.10798884240174059, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 20, 'train_loss': 0.10776063752295806, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 21, 'train_loss': 0.10758405466347148, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 22, 'train_loss': 0.10736667906654268, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 23, 'train_loss': 0.10714468381689965, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 24, 'train_loss': 0.10692928684086503, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 25, 'train_loss': 0.10676331394626683, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 26, 'train_loss': 0.10647909687073075, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 27, 'train_loss': 0.10627971017988648, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 28, 'train_loss': 0.10605385781432666, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 29, 'train_loss': 0.10581997727404732, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 30, 'train_loss': 0.10559710478303024, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 31, 'train_loss': 0.10534262258056895, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 32, 'train_loss': 0.1050969353766797, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 33, 'train_loss': 0.1048718711104015, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 34, 'train_loss': 0.10459987788607521, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 35, 'train_loss': 0.10435215351614593, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 36, 'train_loss': 0.10408334803659364, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 37, 'train_loss': 0.10383618631839744, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 38, 'train_loss': 0.10360438865577798, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 39, 'train_loss': 0.10334781185944147, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 40, 'train_loss': 0.10312216533517254, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 41, 'train_loss': 0.10281258041212545, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 42, 'train_loss': 0.10253569802159473, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 43, 'train_loss': 0.1022719067615942, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 44, 'train_loss': 0.10202770864979561, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 45, 'train_loss': 0.10170834385576304, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 46, 'train_loss': 0.10144286705760272, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 47, 'train_loss': 0.10116058397387248, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 48, 'train_loss': 0.10085383134615264, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 49, 'train_loss': 0.10056751633885913, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 50, 'train_loss': 0.10028272709014965, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 51, 'train_loss': 0.10001895987893177, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 52, 'train_loss': 0.09970024688885903, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 53, 'train_loss': 0.09940139462827487, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 54, 'train_loss': 0.09908976779263262, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 55, 'train_loss': 0.09881026160510455, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 56, 'train_loss': 0.09853055341512654, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 57, 'train_loss': 0.09820435000937079, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 58, 'train_loss': 0.09796819943486465, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 59, 'train_loss': 0.09766778555879845, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 60, 'train_loss': 0.09734600131769948, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 61, 'train_loss': 0.09705109612172565, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 62, 'train_loss': 0.09701509763435666, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 63, 'train_loss': 0.09698176952047845, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 64, 'train_loss': 0.09695092674252187, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 65, 'train_loss': 0.09691518174303106, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 66, 'train_loss': 0.09688378114097122, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 67, 'train_loss': 0.096852580786048, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 68, 'train_loss': 0.0968175131495463, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 69, 'train_loss': 0.09678633700002731, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 70, 'train_loss': 0.09675265595393355, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 71, 'train_loss': 0.09672040220350488, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 72, 'train_loss': 0.09668977304079726, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 73, 'train_loss': 0.0966572105563017, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 74, 'train_loss': 0.09662219605528263, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 75, 'train_loss': 0.09658624175984352, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 76, 'train_loss': 0.09655140140727834, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 77, 'train_loss': 0.09652156619850513, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 78, 'train_loss': 0.09648145150051905, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 79, 'train_loss': 0.09644604287926428, 'train_acc': 0.9767528131569185, 'lr': 0.0001}, {'epoch': 80, 'train_loss': 0.09641164153375775, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 81, 'train_loss': 0.09638240277887872, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 82, 'train_loss': 0.096379100867339, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 83, 'train_loss': 0.09637603237791971, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 84, 'train_loss': 0.09637190101324362, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 85, 'train_loss': 0.09636850922072614, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 86, 'train_loss': 0.09636463362415414, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 87, 'train_loss': 0.0963618688619784, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 88, 'train_loss': 0.09635764038225025, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 89, 'train_loss': 0.09635421175464087, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 90, 'train_loss': 0.09635023860954356, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 91, 'train_loss': 0.09634610544095541, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 92, 'train_loss': 0.0963431483709751, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 93, 'train_loss': 0.09633861981305585, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 94, 'train_loss': 0.09633512524845309, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 95, 'train_loss': 0.09633233284924829, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 96, 'train_loss': 0.09632751233235445, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 97, 'train_loss': 0.0963245808276222, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 98, 'train_loss': 0.09632014056005038, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 99, 'train_loss': 0.0963162940034222, 'train_acc': 0.9767528131569185, 'lr': 1e-05}, {'epoch': 100, 'train_loss': 0.09631254386810462, 'train_acc': 0.9767528131569185, 'lr': 1e-05}]","{'loss': 0.09711032893608161, 'acc': 0.97675568743818, 'precision_macro': 0.48837784371909, 'recall_macro': 0.5, 'f1_macro': 0.49412059044283213, 'precision_weighted': 0.9540516729428316, 'recall_weighted': 0.97675568743818, 'f1_weighted': 0.9652701939906958}",[0 0 0 ... 0 0 0],"[[0.9715128  0.02848719]
 [0.94875705 0.05124302]
 [0.97937554 0.02062445]
 ...
 [0.9694232  0.0305768 ]
 [0.98140895 0.01859104]
 [0.9793427  0.02065727]]"

Fused Info
model,history,test_metrics,y_test_pred,y_test_prob
"LogisticRegression(
  (model): Linear(in_features=256, out_features=2, bias=True)
)","[{'epoch': 1, 'train_loss': 0.20563077393155008, 'train_acc': 0.9356992704340299, 'lr': 0.001}, {'epoch': 2, 'train_loss': 0.10471034459415024, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 3, 'train_loss': 0.08810460812863526, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 4, 'train_loss': 0.07660484340866903, 'train_acc': 0.9767528131569185, 'lr': 0.001}, {'epoch': 5, 'train_loss': 0.06891875572459312, 'train_acc': 0.9768764684060839, 'lr': 0.001}, {'epoch': 6, 'train_loss': 0.06361859956489287, 'train_acc': 0.9776183999010758, 'lr': 0.001}, {'epoch': 7, 'train_loss': 0.06000658068140291, 'train_acc': 0.9776183999010758, 'lr': 0.001}, {'epoch': 8, 'train_loss': 0.05646202672149466, 'train_acc': 0.9789786076418944, 'lr': 0.001}, {'epoch': 9, 'train_loss': 0.05403539930144722, 'train_acc': 0.9802151601335477, 'lr': 0.001}, {'epoch': 10, 'train_loss': 0.05185044672986449, 'train_acc': 0.9812044021268703, 'lr': 0.001}, {'epoch': 11, 'train_loss': 0.04986429291314243, 'train_acc': 0.9818226783726969, 'lr': 0.001}, {'epoch': 12, 'train_loss': 0.04809242476013258, 'train_acc': 0.9830592308643502, 'lr': 0.001}, {'epoch': 13, 'train_loss': 0.04676255069053945, 'train_acc': 0.9833065413626808, 'lr': 0.001}, {'epoch': 14, 'train_loss': 0.0453887269247742, 'train_acc': 0.9839248176085075, 'lr': 0.001}, {'epoch': 15, 'train_loss': 0.04417520988948161, 'train_acc': 0.9844194386051688, 'lr': 0.001}, {'epoch': 16, 'train_loss': 0.04307542479049663, 'train_acc': 0.9847904043526647, 'lr': 0.001}, {'epoch': 17, 'train_loss': 0.04223208789922932, 'train_acc': 0.9850377148509954, 'lr': 0.001}, {'epoch': 18, 'train_loss': 0.0413910354799344, 'train_acc': 0.9855323358476568, 'lr': 0.001}, {'epoch': 19, 'train_loss': 0.04090504663812944, 'train_acc': 0.9860269568443181, 'lr': 0.001}, {'epoch': 20, 'train_loss': 0.03980162114280845, 'train_acc': 0.9870161988376407, 'lr': 0.001}, {'epoch': 21, 'train_loss': 0.038633670365013834, 'train_acc': 0.987510819834302, 'lr': 0.001}, {'epoch': 22, 'train_loss': 0.03834659756805379, 'train_acc': 0.9873871645851366, 'lr': 0.001}, {'epoch': 23, 'train_loss': 0.03743401730297905, 'train_acc': 0.9876344750834672, 'lr': 0.001}, {'epoch': 24, 'train_loss': 0.03683402963352097, 'train_acc': 0.9876344750834672, 'lr': 0.001}, {'epoch': 25, 'train_loss': 0.03659573050877567, 'train_acc': 0.9881290960801286, 'lr': 0.001}, {'epoch': 26, 'train_loss': 0.03585928566804536, 'train_acc': 0.9883764065784593, 'lr': 0.001}, {'epoch': 27, 'train_loss': 0.035398296795288386, 'train_acc': 0.987881785581798, 'lr': 0.001}, {'epoch': 28, 'train_loss': 0.034750131999582504, 'train_acc': 0.9891183380734512, 'lr': 0.001}, {'epoch': 29, 'train_loss': 0.034267576458007445, 'train_acc': 0.9906022010634351, 'lr': 0.001}, {'epoch': 30, 'train_loss': 0.0338878116732908, 'train_acc': 0.9892419933226165, 'lr': 0.001}, {'epoch': 31, 'train_loss': 0.03344605222051424, 'train_acc': 0.9899839248176086, 'lr': 0.001}, {'epoch': 32, 'train_loss': 0.033371966041525966, 'train_acc': 0.9899839248176086, 'lr': 0.001}, {'epoch': 33, 'train_loss': 0.03276764519933689, 'train_acc': 0.9910968220600964, 'lr': 0.001}, {'epoch': 34, 'train_loss': 0.032556861177449825, 'train_acc': 0.9908495115617658, 'lr': 0.001}, {'epoch': 35, 'train_loss': 0.03208534166189672, 'train_acc': 0.9902312353159392, 'lr': 0.001}, {'epoch': 36, 'train_loss': 0.03173275916978, 'train_acc': 0.9909731668109312, 'lr': 0.001}, {'epoch': 37, 'train_loss': 0.03143331096132754, 'train_acc': 0.9912204773092618, 'lr': 0.001}, {'epoch': 38, 'train_loss': 0.031299805552277175, 'train_acc': 0.9907258563126005, 'lr': 0.001}, {'epoch': 39, 'train_loss': 0.031123284878596412, 'train_acc': 0.9914677878075925, 'lr': 0.001}, {'epoch': 40, 'train_loss': 0.03068548412764376, 'train_acc': 0.9918387535550884, 'lr': 0.001}, {'epoch': 41, 'train_loss': 0.030567643724274132, 'train_acc': 0.9913441325584271, 'lr': 0.001}, {'epoch': 42, 'train_loss': 0.030535632496370556, 'train_acc': 0.9914677878075925, 'lr': 0.001}, {'epoch': 43, 'train_loss': 0.02984851907422328, 'train_acc': 0.9925806850500803, 'lr': 0.001}, {'epoch': 44, 'train_loss': 0.03001915237141852, 'train_acc': 0.992086064053419, 'lr': 0.001}, {'epoch': 45, 'train_loss': 0.029511647078049586, 'train_acc': 0.992086064053419, 'lr': 0.001}, {'epoch': 46, 'train_loss': 0.029325196594580282, 'train_acc': 0.9922097193025844, 'lr': 0.001}, {'epoch': 47, 'train_loss': 0.02949562241145711, 'train_acc': 0.9917150983059231, 'lr': 0.001}, {'epoch': 48, 'train_loss': 0.028956838021090794, 'train_acc': 0.9919624088042538, 'lr': 0.001}, {'epoch': 49, 'train_loss': 0.02880300911281848, 'train_acc': 0.9922097193025844, 'lr': 0.001}, {'epoch': 50, 'train_loss': 0.02851988311363627, 'train_acc': 0.9919624088042538, 'lr': 0.001}, {'epoch': 51, 'train_loss': 0.028539985193636836, 'train_acc': 0.9922097193025844, 'lr': 0.001}, {'epoch': 52, 'train_loss': 0.028266932835697176, 'train_acc': 0.9919624088042538, 'lr': 0.001}, {'epoch': 53, 'train_loss': 0.028083622115470424, 'train_acc': 0.9922097193025844, 'lr': 0.001}, {'epoch': 54, 'train_loss': 0.027981545887836808, 'train_acc': 0.9924570298009151, 'lr': 0.001}, {'epoch': 55, 'train_loss': 0.027822878449087467, 'train_acc': 0.992086064053419, 'lr': 0.001}, {'epoch': 56, 'train_loss': 0.02796321136341894, 'train_acc': 0.9923333745517497, 'lr': 0.001}, {'epoch': 57, 'train_loss': 0.02753177541469333, 'train_acc': 0.9919624088042538, 'lr': 0.001}, {'epoch': 58, 'train_loss': 0.02722032588973496, 'train_acc': 0.993198961295907, 'lr': 0.001}, {'epoch': 59, 'train_loss': 0.02734946147578453, 'train_acc': 0.9928279955484111, 'lr': 0.001}, {'epoch': 60, 'train_loss': 0.027326437150266034, 'train_acc': 0.9923333745517497, 'lr': 0.0001}, {'epoch': 61, 'train_loss': 0.02673661496655614, 'train_acc': 0.9930753060467417, 'lr': 0.0001}, {'epoch': 62, 'train_loss': 0.026729703575204097, 'train_acc': 0.9930753060467417, 'lr': 0.0001}, {'epoch': 63, 'train_loss': 0.02667493176226992, 'train_acc': 0.993198961295907, 'lr': 0.0001}, {'epoch': 64, 'train_loss': 0.026691936084654453, 'train_acc': 0.9929516507975763, 'lr': 0.0001}, {'epoch': 65, 'train_loss': 0.026662932800399573, 'train_acc': 0.9929516507975763, 'lr': 0.0001}, {'epoch': 66, 'train_loss': 0.026651474749834116, 'train_acc': 0.993198961295907, 'lr': 0.0001}, {'epoch': 67, 'train_loss': 0.026627309232741998, 'train_acc': 0.9930753060467417, 'lr': 0.0001}, {'epoch': 68, 'train_loss': 0.02660836153818589, 'train_acc': 0.993198961295907, 'lr': 0.0001}, {'epoch': 69, 'train_loss': 0.026611066620400296, 'train_acc': 0.9927043402992457, 'lr': 0.0001}, {'epoch': 70, 'train_loss': 0.02659140967447147, 'train_acc': 0.9929516507975763, 'lr': 0.0001}, {'epoch': 71, 'train_loss': 0.026558972390321536, 'train_acc': 0.9930753060467417, 'lr': 0.0001}, {'epoch': 72, 'train_loss': 0.02657249944068743, 'train_acc': 0.9925806850500803, 'lr': 0.0001}, {'epoch': 73, 'train_loss': 0.026569268692464936, 'train_acc': 0.9928279955484111, 'lr': 0.0001}, {'epoch': 74, 'train_loss': 0.02655004375134342, 'train_acc': 0.9930753060467417, 'lr': 0.0001}, {'epoch': 75, 'train_loss': 0.02651141756756043, 'train_acc': 0.9929516507975763, 'lr': 0.0001}, {'epoch': 76, 'train_loss': 0.02649067973863613, 'train_acc': 0.9929516507975763, 'lr': 0.0001}, {'epoch': 77, 'train_loss': 0.02648499025730042, 'train_acc': 0.9930753060467417, 'lr': 0.0001}, {'epoch': 78, 'train_loss': 0.026468665231605668, 'train_acc': 0.9930753060467417, 'lr': 0.0001}, {'epoch': 79, 'train_loss': 0.026450583656218638, 'train_acc': 0.9930753060467417, 'lr': 0.0001}, {'epoch': 80, 'train_loss': 0.026431480652941854, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 81, 'train_loss': 0.026390994530453536, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 82, 'train_loss': 0.0263884368532131, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 83, 'train_loss': 0.02638770537424422, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 84, 'train_loss': 0.026385186013206056, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 85, 'train_loss': 0.02638192744979745, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 86, 'train_loss': 0.02638064653945379, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 87, 'train_loss': 0.02638274113931747, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 88, 'train_loss': 0.026378054425504536, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 89, 'train_loss': 0.026380031314981713, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 90, 'train_loss': 0.026374374968509928, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 91, 'train_loss': 0.02637169573914858, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 92, 'train_loss': 0.026371507798437284, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 93, 'train_loss': 0.02636900518416135, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 94, 'train_loss': 0.026367663839596784, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 95, 'train_loss': 0.026368796299776554, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 96, 'train_loss': 0.02636703040878757, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 97, 'train_loss': 0.026364688305947775, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 98, 'train_loss': 0.026363234926686307, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 99, 'train_loss': 0.026359027502886722, 'train_acc': 0.9930753060467417, 'lr': 1e-05}, {'epoch': 100, 'train_loss': 0.02635780900244153, 'train_acc': 0.9930753060467417, 'lr': 1e-05}]","{'loss': 0.029773978617790308, 'acc': 0.9930761622156281, 'precision_macro': 0.9395865894214837, 'recall_macro': 0.9029894963641261, 'f1_macro': 0.9204518630922273, 'precision_weighted': 0.9928551309230903, 'recall_weighted': 0.9930761622156281, 'f1_weighted': 0.9929258013478778}",[0 0 0 ... 0 0 0],"[[9.9992466e-01 7.5305703e-05]
 [9.1109139e-01 8.8908546e-02]
 [9.9975687e-01 2.4317049e-04]
 ...
 [9.9967968e-01 3.2032636e-04]
 [9.9999774e-01 2.2584411e-06]
 [9.9993849e-01 6.1539649e-05]]"
