epoch,split,loss,contrast,tda,L_sb,L_st,L_bt,r1_seq2bio,r1_bio2seq,r5_seq2bio,r5_bio2seq,r10_seq2bio,r10_bio2seq,r1_seq2bio_multi,r1_bio2seq_multi,r5_seq2bio_multi,r5_bio2seq_multi,r10_seq2bio_multi,r10_bio2seq_multi
6,val,4.032093593052456,4.032093593052456,0.0,4.032093865530832,0.0,0.0,0.05555555650166103,0.04761904903820583,0.15079365457807267,0.1884920597076416,0.2837301662990025,0.29563491685049875,0.05555555650166103,0.04761904903820583,0.15079365457807267,0.18849207673754012,0.2837301662990025,0.29563491685049875
7,train,4.5105028115242,4.5105028115242,0.0,4.5105028115242,0.0,0.0,,,,,,,,,,,,
7,val,4.010224478585379,4.010224478585379,0.0,4.0102242061070035,0.0,0.0,0.0694444477558136,0.053571424313953946,0.16269842215946742,0.19047619615282332,0.29365079743521555,0.3134920597076416,0.0694444477558136,0.05357142857142857,0.16269842215946742,0.19047619615282332,0.2936507633754185,0.3134920597076416
8,train,4.493918782933255,4.493918782933255,0.0,4.493918782933255,0.0,0.0,,,,,,,,,,,,
8,val,4.0021931784493585,4.0021931784493585,0.0,4.0021931784493585,0.0,0.0,0.0615079402923584,0.06746031982558114,0.17261905329568045,0.17460317271096365,0.29563495091029574,0.3134920597076416,0.06150793603488377,0.06746031982558114,0.17261905329568045,0.17460317271096365,0.29563491685049875,0.3134920597076416
9,train,4.480945214919984,4.480945214919984,0.0,4.480945214919984,0.0,0.0,,,,,,,,,,,,
9,val,4.000037602015904,4.000037602015904,0.0,4.000037602015904,0.0,0.0,0.06746031982558114,0.05952381236212594,0.16666666099003383,0.18055554798671178,0.2857142857142857,0.3115079402923584,0.06746031982558114,0.05952380810465131,0.16666667801993235,0.18055554798671178,0.2857142686843872,0.3115079402923584
10,train,4.46905112582943,4.46905112582943,0.0,4.46905112582943,0.0,0.0,,,,,,,,,,,,
10,val,3.9950528826032365,3.9950528826032365,0.0,3.9950528826032365,0.0,0.0,0.06349206396511622,0.06349206396511622,0.16865079743521555,0.19246031556810653,0.30555554798671175,0.30753966740199495,0.06349206396511622,0.06349206396511622,0.16865079743521555,0.19246031556810653,0.30555554798671175,0.30753966740199495
11,train,4.457795118559719,4.457795118559719,0.0,4.457795118559719,0.0,0.0,,,,,,,,,,,,
11,val,3.9815919058663503,3.9815919058663503,0.0,3.9815921783447266,0.0,0.0,0.06944444349833898,0.0694444477558136,0.17460317271096365,0.20436508314950125,0.29761903626578196,0.3134920597076416,0.0694444477558136,0.0694444477558136,0.17460317271096365,0.20436508314950125,0.29761903626578196,0.3134920597076416
12,train,4.442763222092116,4.442763222092116,0.0,4.442763603264051,0.0,0.0,,,,,,,,,,,,
12,val,3.9722396305629184,3.9722396305629184,0.0,3.9722393580845425,0.0,0.0,0.06349206396511622,0.0615079402923584,0.19246031556810653,0.21031745842524938,0.2956348827907017,0.3293651172092983,0.06349206396511622,0.06150793603488377,0.19246031556810653,0.21031747545514787,0.29563491685049875,0.32936508314950125
13,train,4.432704094701405,4.432704094701405,0.0,4.432704094701405,0.0,0.0,,,,,,,,,,,,
13,val,3.967757088797433,3.967757088797433,0.0,3.967756816319057,0.0,0.0,0.07539682728903634,0.05158730489867074,0.20634920256478445,0.19642857142857142,0.3055555820465088,0.33134916850498747,0.07539682728903634,0.05158730489867074,0.20634918553488596,0.19642857142857142,0.30555554798671175,0.33134920256478445
14,train,4.422216911226581,4.422216911226581,0.0,4.422216530054645,0.0,0.0,,,,,,,,,,,,
14,val,3.9822850908551897,3.9822850908551897,0.0,3.982285363333566,0.0,0.0,0.06746031982558114,0.06547619189534869,0.18253968443189347,0.19642857142857142,0.29563491685049875,0.32341269084385466,0.06746031556810651,0.06547619189534869,0.18253968443189347,0.19642857142857142,0.29563491685049875,0.32341269084385466
15,train,4.414989510148321,4.414989510148321,0.0,4.414989510148321,0.0,0.0,,,,,,,,,,,,
15,val,3.970851080758231,3.970851080758231,0.0,3.970850808279855,0.0,0.0,0.06547619615282331,0.06746031982558114,0.19642857142857142,0.20634920256478445,0.30357142857142855,0.33531744139535086,0.06547619615282331,0.06746031556810651,0.19642857142857142,0.20634920256478445,0.30357142857142855,0.33531744139535086
16,train,4.400066628854411,4.400066628854411,0.0,4.400067010026347,0.0,0.0,,,,,,,,,,,,
16,val,3.9719785962785994,3.9719785962785994,0.0,3.971978323800223,0.0,0.0,0.07341269935880389,0.05952381236212594,0.17658729212624685,0.21428571428571427,0.30753966740199495,0.32341269084385466,0.07341269935880389,0.05952381236212594,0.17658730915614537,0.21428571428571427,0.30753966740199495,0.32341269084385466
17,train,4.394487796399297,4.394487796399297,0.0,4.394487415227362,0.0,0.0,,,,,,,,,,,,
17,val,3.9631688254220143,3.9631688254220143,0.0,3.9631690979003906,0.0,0.0,0.07142857994352068,0.06547619189534869,0.19047619615282332,0.21626983370099748,0.283730149269104,0.32738096373421804,0.07142857142857142,0.06547619189534869,0.1904761791229248,0.216269850730896,0.2837301662990025,0.32738092967442106
18,train,4.38281440585968,4.38281440585968,0.0,4.38281440585968,0.0,0.0,,,,,,,,,,,,
18,val,3.956775665283203,3.956775665283203,0.0,3.956775665283203,0.0,0.0,0.07142857142857142,0.06547619615282331,0.18452380384717668,0.22023810659136092,0.30357142857142855,0.32142857142857145,0.07142857142857142,0.06547619189534869,0.1845238208770752,0.22023810659136092,0.30357142857142855,0.32142857142857145
19,train,4.3755088645345435,4.3755088645345435,0.0,4.375509245706479,0.0,0.0,,,,,,,,,,,,
19,val,3.956404277256557,3.956404277256557,0.0,3.9564037322998047,0.0,0.0,0.07142857142857142,0.06349206822259086,0.1865079402923584,0.21230159487043107,0.3134920597076416,0.3452381065913609,0.07142857142857142,0.06349206822259086,0.1865079402923584,0.21230157784053258,0.3134920597076416,0.3452381065913609
20,train,4.363410848458236,4.363410848458236,0.0,4.363410848458236,0.0,0.0,,,,,,,,,,,,
20,val,3.944343294416155,3.944343294416155,0.0,3.944343294416155,0.0,0.0,0.08730159487043108,0.06150793603488377,0.17857142857142858,0.21230157784053258,0.3115079402923584,0.3511904648372105,0.08730159487043108,0.0615079402923584,0.17857142857142858,0.21230159487043107,0.3115079402923584,0.35119049889700754
21,train,4.3547544337919595,4.3547544337919595,0.0,4.3547544337919595,0.0,0.0,,,,,,,,,,,,
21,val,3.9282545362200056,3.9282545362200056,0.0,3.9282542637416293,0.0,0.0,0.08134921107973371,0.06547619615282331,0.19841270787375315,0.20833332198006765,0.3154761791229248,0.3452381065913609,0.08134920256478446,0.06547619189534869,0.19841270787375315,0.20833333900996617,0.3154761791229248,0.3452380725315639
22,train,4.345626890612802,4.345626890612802,0.0,4.345626890612802,0.0,0.0,,,,,,,,,,,,
22,val,3.921537126813616,3.921537126813616,0.0,3.921537126813616,0.0,0.0,0.08134921107973371,0.06547619189534869,0.20436508314950125,0.22023810659136092,0.30357142857142855,0.3373015948704311,0.08134921107973371,0.06547619189534869,0.20436508314950125,0.22023810659136092,0.30357142857142855,0.33730156081063406
23,train,4.335822386075332,4.335822386075332,0.0,4.335822386075332,0.0,0.0,,,,,,,,,,,,
23,val,3.9174466814313615,3.9174466814313615,0.0,3.9174466814313615,0.0,0.0,0.07539682728903634,0.07539682728903634,0.20436508314950125,0.23611109597342356,0.32539684431893484,0.35317461831229074,0.07539682728903634,0.07539682728903634,0.20436508314950125,0.23611111300332205,0.32539681025913786,0.35317461831229074
24,train,4.330254226434426,4.330254226434426,0.0,4.330254607606363,0.0,0.0,,,,,,,,,,,,
24,val,3.9136080060686385,3.9136080060686385,0.0,3.9136080060686385,0.0,0.0,0.08134921107973371,0.07341270787375313,0.20634920256478445,0.23214285714285715,0.33333332198006765,0.35515873772757395,0.08134921107973371,0.07341269935880389,0.20634920256478445,0.23214284011295863,0.33333332198006765,0.35515873772757395
25,train,4.321895888222092,4.321895888222092,0.0,4.321895888222092,0.0,0.0,,,,,,,,,,,,
25,val,3.906114305768694,3.906114305768694,0.0,3.906114033290318,0.0,0.0,0.07738096373421806,0.07341269935880389,0.20436508314950125,0.22619048186710902,0.3353174754551479,0.35714285714285715,0.0773809552192688,0.07341269935880389,0.20436508314950125,0.22619048186710902,0.33531744139535086,0.35714285714285715
26,train,4.316931886099726,4.316931886099726,0.0,4.316932267271663,0.0,0.0,,,,,,,,,,,,
26,val,3.9113665989467075,3.9113665989467075,0.0,3.9113671439034596,0.0,0.0,0.07341269935880389,0.06547619189534869,0.20436508314950125,0.23214287417275564,0.32738096373421804,0.3511904648372105,0.07341269935880389,0.06547619189534869,0.20436508314950125,0.23214285714285715,0.32738096373421804,0.35119049889700754
27,train,4.310051732655152,4.310051732655152,0.0,4.310052113827088,0.0,0.0,,,,,,,,,,,,
27,val,3.925602776663644,3.925602776663644,0.0,3.925602504185268,0.0,0.0,0.08333333900996617,0.07142857994352068,0.20833333900996617,0.22817460128239223,0.29960318974086214,0.36309524944850374,0.08333333049501691,0.07142857142857142,0.20833332198006765,0.22817460128239223,0.29960315568106516,0.36309524944850374
28,train,4.302275062817135,4.302275062817135,0.0,4.302274681645199,0.0,0.0,,,,,,,,,,,,
